submissionID,studyCountry,studyCity,studyLon,studyLat,birthCountry,birthCity,birthLat,birthLon,transitCountry1,transitLat1,transitLon1,transitCountry2,transitLat2,transitLon2,transitCountry3,transitLat3,transitLon3,countryID,weight
SInt-SHARP-NS-208-PAK,Pakistan,N.W.F.P.,34.9407,72.6402,Afghanistan,Kunduz,36.9043,68.682,,,,,,,,,,1,4
SInt-SHARP-NS-195-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Ghazni,33.4079,67.8006,,,,,,,,,,1,4
SInt-AUTH-ST-007-GRC,Greece,Attiki,38.0626,23.7997,DR Congo,Katanga,-8.48374,26.2512,Turkey,32.38075029,39.52890223,,,,,,,2,4
SInt-AAU-AHA-001-ET,Ethiopia,Afar,12.1232,41.0236,Eritrea,Maekel,14.858,38.9679,Djibouti,42.58328297,11.65680394,,,,,,,3,4
SInt-AUTH-MN-024-GRC,Greece,Attiki,38.0626,23.7997,Syria,Damascus,33.5101,36.2897,Turkey,32.38075029,39.52890223,,,,,,,4,4
SInt-AUTH-MN-036-GRC,Greece,Attiki,38.0626,23.7997,Syria,Homs (Hims),34.1503,38.1425,Turkey,32.38075029,39.52890223,,,,,,,4,4
SInt-AUTH-MN-006-GRC,Greece,Attiki,38.0626,23.7997,Syria,Idlib,35.8528,36.6829,Turkey,32.38075029,39.52890223,,,,,,,4,4
SInt-YU-TY-007-JOR,Jordan,Irbid,32.5559,35.8195,Syria,Damascus,33.5101,36.2897,,,,,,,,,,4,4
SInt-AAU-Sgt-008-ET,Ethiopia,Addis Ababa,8.966,38.7815,Ethiopia,Addis Ababa,8.966,38.7815,,,,,,,,,,99,4
SInt-AAU-Bhy-012-ET,Ethiopia,Addis Ababa,8.966,38.7815,Ethiopia,Amhara,11.6981,37.7222,,,,,,,,,,99,4
SInt-FIERI-FR-091-ITA,Italy,Treviso,45.8092,12.2313,Nigeria,Edo,6.52416,5.84934,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,,,,99,4
SInt-FIERI-GG-032-ITA,Italy,Turin,45.1609,7.47211,Nigeria,Delta,5.44265,5.88195,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,,,,99,4
SInt-AUTH-NM-212-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Bamyan,34.9693,67.2365,Pakistan,69.51473907,29.44411196,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,1,3
SInt-AUTH-NM-202-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Ghazni,33.4079,67.8006,Pakistan,69.51473907,29.44411196,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,1,3
SInt-SHARP-SK-233-PAK,Pakistan,F.C.T.,33.7011,73.0628,Afghanistan,Kandahar,31.135,65.7163,,,,,,,,,,1,3
SInt-SHARP-AI-002-PAK,Pakistan,F.C.T.,33.7011,73.0628,Afghanistan,Nangarhar,34.2153,70.3027,,,,,,,,,,1,3
SInt-SHARP-NS-221-PAK,Pakistan,N.W.F.P.,34.9407,72.6402,Afghanistan,Baghlan,35.8588,68.9831,,,,,,,,,,1,3
SInt-SHARP-NS-205-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Kunar,34.9013,71.1061,,,,,,,,,,1,3
SInt-SHARP-AI-174-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Sari Pul,35.7062,66.2158,,,,,,,,,,1,3
