ID,Year,Group,Subgroup,Type,Subtype,Subsubtype,EventName,Country,ISO,Region,Continent,Location,Origin,AssociatedDis,AssociatedDis2,Declaration,AidContribution,DisMagValue,DisMagScale,Latitude,Longitude,LocalTime,RiverBasin,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Deaths,Injuries,Affected,Homeless,TotalAffected,ReconstructionCosts,InsuredDamages,TotalDamages,GeoLocations
1991-0396-FRA,1991,Technological,Technological,Transport accident,Rail,,,France,FRA,Western Europe,Europe,Melun,,,,,,,,,,,,1991,10,17,1991,10,17,24,62,,,62,,,,
1991-0254-FRA,1991,Technological,Technological,Industrial accident,Fire,,Oil depot,France,FRA,Western Europe,Europe,Saint Ouen,,,,,,,m3,,,,,1991,6,15,1991,6,15,,7,2500,,2507,,,,
1991-0248-FRA,1991,Technological,Technological,Miscellaneous accident,Fire,,Thermal building,France,FRA,Western Europe,Europe,Bartoban-lesThermes,,,,,,,,,,,,1991,6,28,1991,6,28,20,1,,,1,,,,
1991-0613-GAB,1991,Technological,Technological,Transport accident,Water,,Ferry,Gabon,GAB,Middle Africa,Africa,Golfe de GuinÃ©e (Atlantique),,,,,,,,,,,,1991,4,18,1991,4,18,72,,,,,,,,
1991-0483-GBR,1991,Natural,Meteorological,Extreme temperature,Cold wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,Â°C,,,,,1991,2,14,1991,2,14,,,,,,,200000,,
1991-0453-GBR,1991,Technological,Technological,Transport accident,Road,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Bicester,,,,,,,,,,,,1991,3,14,1991,3,14,12,25,,,25,,,,
1991-0003-GBR,1991,Technological,Technological,Transport accident,Rail,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,,,,1991,1,8,1991,1,8,1,248,,,248,,,,
1991-0471-GBR,1991,Technological,Technological,Transport accident,Rail,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Between Portsmouth and Cardiff,,,,,,,,,,,,1991,12,7,1991,12,7,,100,,,100,,,,
1991-0309-GBR,1991,Technological,Technological,Industrial accident,Fire,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,m3,,,,,1991,8,2,1991,8,2,,,,1400,1400,,,,
1991-0004-GBR,1991,Natural,Meteorological,Storm,,,Undine,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Wales,,,,No,,,Kph,,,,,1991,1,5,1991,1,6,48,,,,,,480000,900000,
1991-0188-GHA,1991,Natural,Hydrological,Flood,Riverine flood,,,Ghana,GHA,Western Africa,Africa,Accra,,,,,,,,,,,,,,,,,,,,,,,,,,
