studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Italy,Milano,9.1154,45.442,Cameroon,99,Cameroon,,12.44144166,5.270294606,1,3,3,0,
Italy,Roma,12.7308,41.965,Cameroon,99,Cameroon,,12.44144166,5.270294606,1,3,3,0,
Italy,Vicenza,11.4753,45.712,Niger,99,Cameroon,,12.44144166,5.270294606,1,3,3,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Canada,,-107.991707,61.0666922,3,47,14,0,
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,Canada,,-107.991707,61.0666922,2,47,2,0,
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Canada,,-107.991707,61.0666922,2,47,14,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Canada,,-107.991707,61.0666922,1,47,31,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Canada,,-107.991707,61.0666922,21,47,31,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Canada,,-107.991707,61.0666922,9,47,31,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Canada,,-107.991707,61.0666922,8,47,14,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Canada,,-107.991707,61.0666922,1,47,14,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Denmark,,10.3333283,55.670249,1,7,2,0,
Greece,Athens Area,23.7997,38.0626,Syria,4,Denmark,,10.3333283,55.670249,4,7,5,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Denmark,,10.3333283,55.670249,1,7,5,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Denmark,,10.3333283,55.670249,1,7,2,0,
Greece,Athens Area,23.7997,38.0626,DR Congo,2,DR Congo,,23.8222636,-2.9814344,2,4,4,0,
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,DR Congo,,23.8222636,-2.9814344,1,4,4,0,
Italy,Turin,7.47211,45.1609,DR Congo,2,DR Congo,,23.8222636,-2.9814344,1,4,4,0,
