x1,y1,z1,x2,y2,z2
,,,38,17,25
,,,46,13,36
,,,52,29,27
,,,42,32,26
,,,38,35,26
,,,24,17,35
,,,22,14,35
,,,10,12,16
,,,40,38,40
,,,28,17,34
,,,29,17,18
,,,37,9,47
,,,40,16,53
,,,25,8,21
,,,46,33,40
,,,42,8,37
,,,36,14,29
,,,52,20,26
,,,33,25,25
,,,19,9,28
,,,16,38,43
,,,26,12,19
,,,44,15,33
,,,30,19,20
,,,15,6,27
,,,26,13,35
,,,37,23,31
,,,38,30,21
,,,21,7,46
,,,26,11,32
,,,24,17,29
,,,13,14,34
,,,40,26,48
,,,25,10,24
,,,53,20,38
,,,19,36,30
,,,32,38,39
,,,8,33,32
,,,29,10,25
,,,31,13,18
,,,27,10,34
,,,41,11,23
,,,46,23,29
,,,43,16,39
,,,31,10,37
,,,20,11,23
,,,17,12,25
,,,54,23,22
,,,34,20,29
,,,13,13,23
,,,12,19,21
,,,37,43,32
,,,23,5,52
,,,31,20,21
,,,43,33,26
,,,36,28,16
,,,16,22,30
,,,44,47,31
,,,18,12,34
,,,32,41,31
,,,33,12,40
,,,28,16,33
,,,12,32,40
,,,8,6,36
