submission;studyCountry;originCountry;siteType;IDPCamp;gender;age;maritalStatus;education;protectionStatus;Connectivity;Mobility;Marginalisation
SInt-AAU-HTA-001-ET;231;232;1;0;2;2;1;2;#NULL!;6;34;51
SInt-AAU-HTA-002-ET;231;232;1;0;2;3;2;0;#NULL!;18;20;29
SInt-AAU-HTA-003-ET;231;232;1;0;2;3;2;0;#NULL!;14;15;42
SInt-AAU-HTA-004-ET;231;232;#NULL!;0;2;3;4;0;#NULL!;4;5;29
SInt-AAU-HTA-005-ET;231;232;#NULL!;0;2;4;2;0;#NULL!;6;20;39
SInt-AAU-HTA-006-ET;231;232;1;0;2;1;1;0;#NULL!;9;20;33
SInt-AAU-HTA-007-ET;231;232;1;0;2;3;4;0;#NULL!;7;20;29
SInt-AAU-HTA-008-ET;231;232;1;0;1;2;2;0;#NULL!;7;20;29
SInt-AAU-HTA-009-ET;231;232;1;0;1;1;1;2;1;10;20;23
SInt-AAU-HTA-010-ET;231;232;1;0;1;1;1;2;#NULL!;29;32;33
SInt-AAU-HTA-119-ET;231;232;1;0;1;1;1;1;#NULL!;9;20;33
SInt-AAU-HTA-121-ET;231;232;1;0;2;6;2;0;#NULL!;7;5;31
SInt-AAU-HTA-122-ET;231;232;1;0;2;2;1;2;#NULL!;7;5;23
SInt-AAU-HTA-123-ET;231;232;1;0;1;4;1;0;#NULL!;4;25;23
SInt-AAU-HTA-125-ET;231;232;1;0;2;3;2;0;#NULL!;7;5;29
SInt-AAU-HTA-126-ET;231;232;1;0;1;1;1;2;#NULL!;11;5;31
SInt-AAU-HTA-127-ET;231;232;1;0;2;1;1;2;#NULL!;9;5;22
SInt-AAU-HTA-128-ET;231;232;3;1;2;1;1;1;#NULL!;25;25;24
SInt-AAU-HTA-129-ET;231;232;3;1;2;1;1;1;#NULL!;10;25;38
SInt-AAU-HTA-131-ET;231;232;3;1;2;1;1;1;#NULL!;10;20;44
SInt-AAU-HTA-132-ET;231;232;3;1;1;1;1;1;#NULL!;31;25;28
SInt-AAU-HTA-135-ET;231;232;3;1;2;2;4;0;#NULL!;13;25;45
SInt-AAU-HTA-135-ET;231;232;3;1;1;1;1;1;#NULL!;10;5;20
SInt-AAU-HTA-137-ET;231;232;3;1;2;3;2;0;#NULL!;13;20;31
SInt-AAU-HTA-137-ET;231;232;1;0;1;1;1;3;#NULL!;12;25;28
SInt-AAU-HTA-138-ET;231;232;1;0;1;1;1;3;#NULL!;7;25;26
SInt-AAU-HTA-139-ET;231;232;1;0;1;1;1;2;#NULL!;13;25;22
SInt-AAU-HTA-157-ET;231;232;3;1;1;1;1;1;#NULL!;9;27;21
SInt-AAU-Mga-001-ET;231;232;1;0;1;2;1;2;2;19;20;38
SInt-AAU-Mga-002-ET;231;232;1;0;2;1;1;2;2;37;17;35
SInt-AAU-Mkr-001-ET;231;232;3;0;2;3;4;0;#NULL!;9;0;21
SInt-AAU-Mkr-002-ET;231;232;2;0;1;3;2;3;#NULL!;17;14;33
SInt-AAU-Mkr-003-ET;231;232;1;0;1;2;1;3;#NULL!;21;5;29
SInt-AAU-Mkr-004-ET;231;232;1;0;1;2;1;2;1;46;19;36
SInt-AAU-Myk-001-ET;231;232;1;0;1;4;1;3;#NULL!;15;19;46
SInt-AAU-Myk-002-ET;231;232;1;0;1;1;1;3;#NULL!;3;15;40
SInt-AAU-Myk-003-ET;231;232;1;0;1;3;1;3;#NULL!;25;30;26
SInt-AAU-Myk-004-ET;231;232;1;0;1;2;1;1;#NULL!;7;29;28
SInt-AAU-Myk-005-ET;231;232;1;0;1;2;1;0;#NULL!;4;30;32
SInt-AAU-Myk-006-ET;231;232;1;1;1;3;2;0;#NULL!;17;22;34
SInt-AAU-Myk-007-ET;231;232;1;1;1;2;1;0;#NULL!;10;16;43
SInt-AAU-Myk-009-ET;231;232;1;1;1;2;1;1;#NULL!;6;19;37
SInt-AAU-Myk-010-ET;231;232;1;0;1;2;1;0;#NULL!;8;10;31
SInt-AAU-Myk-011-ET;231;232;1;0;1;4;2;3;#NULL!;12;25;22
SInt-AAU-Myk-012-ET;231;232;1;1;1;3;2;0;#NULL!;14;26;48
SInt-AAU-Myk-013-ET;231;232;1;1;1;5;2;0;#NULL!;14;26;42
